workoutId,name,coach,type,zonas,duration,date,Sync,Feedback,completed
Macarena22,FitCircuit,Miriam,Circuit Training,Full Body,60,12/11/2019,https://airtable.com/tblnhWsiv31HIswwM/recIn694NQsv0C3IR?blocks=bliHMlxTWf3Xp3Uj6,,
Angel11,Fuerza Bienvenida,Oscar,Fuerza,Full Body,75,9/28/2020,https://airtable.com/tblnhWsiv31HIswwM/recJqqsnqXpZ8dRhc?blocks=bliHMlxTWf3Xp3Uj6,8,checked
Angel12,Fuerza Calentamiento,Oscar,Fuerza,,75,9/29/2020,https://airtable.com/tblnhWsiv31HIswwM/recbLRJWicIYt6SYi?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel13,Fuerza Calentamiento 2,Oscar,Fuerza,,75,9/30/2020,https://airtable.com/tblnhWsiv31HIswwM/rec2b8WIR43Eemaxd?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja11,Primera Carrera,Oscar,Running,"Piernas,Core",60,10/1/2020,https://airtable.com/tblnhWsiv31HIswwM/recm6JmYmr0msTQrJ?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel14,Fuerza Calentamiento 3,Oscar,Fuerza,,75,10/1/2020,https://airtable.com/tblnhWsiv31HIswwM/recNrMMSe0tzHu3i2?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel15,Fuerza Calentamiento 4,Oscar,Fuerza,,75,10/2/2020,https://airtable.com/tblnhWsiv31HIswwM/recw1Yg8rr0PV3prs?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose11,Primera Carrera,Oscar,Running,"Piernas,Core",60,10/3/2020,https://airtable.com/tblnhWsiv31HIswwM/recjmGVsTzq7BPVrZ?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja21,Full Body Masa muscular,Oscar,Fuerza,Full Body,60,10/5/2020,https://airtable.com/tblnhWsiv31HIswwM/recnjsTMN0R4YcPOk?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose21,Empezamos Fuerza,Oscar,Fuerza,,60,10/5/2020,https://airtable.com/tblnhWsiv31HIswwM/recOuRYAB5mZHSFry?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel21,Fuerza de empuje PUSH & PRESS,Oscar,Fuerza,,75,10/5/2020,https://airtable.com/tblnhWsiv31HIswwM/rec3BVfQ1SRfGEIuy?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose22,Carrera de Intervalos cortos,Oscar,Running,"Piernas,Core",60,10/6/2020,https://airtable.com/tblnhWsiv31HIswwM/recBBvCVNZo1ph2xW?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel22,Fuerza de Tirón ,Oscar,Fuerza,,75,10/6/2020,https://airtable.com/tblnhWsiv31HIswwM/recx199d5dS5ut3Ah?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose23,Push + Piernas,Oscar,Fuerza,Piernas,60,10/7/2020,https://airtable.com/tblnhWsiv31HIswwM/recRBL8NPTHmOVpfr?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel23,Fuerza de empuje II Hombro,Oscar,Fuerza,"Hombros,Brazos",75,10/7/2020,https://airtable.com/tblnhWsiv31HIswwM/recTItHi69Rvw4FXE?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel24,Fuerza de empuje III Pectoral,Oscar,Fuerza,,75,10/8/2020,https://airtable.com/tblnhWsiv31HIswwM/recSFlMhbvnTRGNsl?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose24,Fuerza Tirón I,Oscar,Fuerza,,60,10/9/2020,https://airtable.com/tblnhWsiv31HIswwM/recHFyNOALX1KyMb4?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel25,Fuerza tirón Espalda,Oscar,Fuerza,Espalda,75,10/9/2020,https://airtable.com/tblnhWsiv31HIswwM/recBrOixfvgqhSZ1U?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja22,Carrera intervalos cortos,Oscar,Running,"Piernas,Core",60,10/10/2020,https://airtable.com/tblnhWsiv31HIswwM/rece4Iq6geMTYvgE2?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose25,Carrera tirada distancia corta,Oscar,Running,"Piernas,Core",60,10/10/2020,https://airtable.com/tblnhWsiv31HIswwM/rec0N7glMjVUxxR39?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel26,Full Body,Oscar,Fuerza,Full Body,75,10/10/2020,https://airtable.com/tblnhWsiv31HIswwM/recCO3zZx5WdrMt1H?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja31,Full Body Masa muscular,Oscar,Fuerza,Full Body,60,10/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recx53P92NotHqeAz?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose31,Fuerza de Tirón,Oscar,Fuerza,,60,10/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recB5mXy11Rny90nC?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel31,Propiocepción + Pectoral,Oscar,Fuerza,"Pecho,Full Body",75,10/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recjnUjWIZWfpwN6H?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose32,Carrera de intervalos cortos,Oscar,Running,"Piernas,Core",60,10/13/2020,https://airtable.com/tblnhWsiv31HIswwM/rec5NoEAp8U8ZwX6g?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel32,Espalda y Brazo,Oscar,Fuerza,,90,10/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recDKC7N3rG28a8pv?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel33,Hombro y Brazo,Oscar,Fuerza,,90,10/14/2020,https://airtable.com/tblnhWsiv31HIswwM/rec6UbZPs6b1dYlXm?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose33,Push + Piernas,Oscar,Fuerza,Piernas,60,10/15/2020,https://airtable.com/tblnhWsiv31HIswwM/recHrQtbR3EZhVh1S?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel34,Propiocepción + Core + Repaso pectoral,Oscar,Fuerza,,90,10/15/2020,https://airtable.com/tblnhWsiv31HIswwM/recdJOyAoQ2tMFa0H?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose34,Carrera tirada distancia corta,Oscar,Running,"Piernas,Core",60,10/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recoekL74xufjUFHD?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel35,Propiocepción + Pierna,Oscar,Fuerza,,90,10/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recUtFmt4iYCSho38?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja32,Carrera intervalos cortos,Oscar,Running,"Piernas,Core",60,10/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recAZdIDZJNaGoGur?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel36,Full Body,Oscar,Fuerza,Full Body,90,10/17/2020,https://airtable.com/tblnhWsiv31HIswwM/reckPRwqOf7hQoWc4?blocks=bliHMlxTWf3Xp3Uj6,,checked
Borja41,Full Body Masa muscular,Oscar,Fuerza,Full Body,60,10/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recvpHw8vLVrpDOPj?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose41,Carrera de intervalos largos,Oscar,Running,"Piernas,Core",60,10/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recfWTmmd3y7mnX9A?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel41,Propiocepción + Pectoral,Oscar,Fuerza,,90,10/19/2020,https://airtable.com/tblnhWsiv31HIswwM/rec6Tjr8Qy9mzMdNa?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel42,Espalda y Brazo,Oscar,Fuerza,,90,10/20/2020,https://airtable.com/tblnhWsiv31HIswwM/reca420jpSswwEnyA?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose43,Fuerza de Empuje,Oscar,Fuerza,,75,10/21/2020,https://airtable.com/tblnhWsiv31HIswwM/rec2tmtyLgc05BgIN?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel43,Hombro y Brazo,Oscar,Fuerza,,90,10/21/2020,https://airtable.com/tblnhWsiv31HIswwM/reci43qLftcma9SCR?blocks=bliHMlxTWf3Xp3Uj6,,checked
Jose42,Subimos exigencia,Oscar,Fuerza,,60,10/22/2020,https://airtable.com/tblnhWsiv31HIswwM/recvNIdNO2vK3btXa?blocks=bliHMlxTWf3Xp3Uj6,,checked
Angel44,Propiocepción + Core + Repaso pectoral,Oscar,Fuerza,,90,10/22/2020,https://airtable.com/tblnhWsiv31HIswwM/recXuUGeBnQojMigW?blocks=bliHMlxTWf3Xp3Uj6,,checked
